sample,library,identity,Nb,Ti,V,Zr,Nb+Ti,V+Zr,Nb+Ti_over_V+Zr,V_Zr,Nb_Ti,Ti_V,Nb_Zr,Ti_Zr,Nb_V,Ti_V_over_Nb_Zr,Ti_Zr_over_Nb_V,Nb_Ti_over_V_Zr,Nb_over_V_Zr,LogNb_Ti_over_V_Zr,logNb_over_V_Zr,Log_Nb_Ti,Log_Ti_V,Log_Nb_Zr,LogTi_Zr_over_Nb_V,Nb_over_Nb+Zr,Zr_over_Nb+Zr,LogNb_over_Nb+Zr,LogZr_over_Nb+Zr,Phase,Microstructure,H,Er,Mixing_Enthalpy,PDAS,r_avg,delta_pct,Smix_J_over_mol·K,VEC,Estimated_Density
40,1,S40,31.2,25.3,27.2,16.4,56.5,43.6,1.29587156,1.658536585,1.233201581,0.930147059,1.902439024,1.542682927,1.147058824,0.488923454,1.344903064,0.743548012,18.81176471,-0.296321939,2.934482456,0.209613699,-0.072412578,0.64313676,-0.715549338,0.655462185,0.344537815,-0.422414666,-1.065551426,B+S,spinodal,7.23,121.3,0.05418,,145.431,5.796992133,11.32152501,4.588,6.57707451
41,1,S41,31.5,29,27.5,11.9,60.5,39.4,1.535532995,2.31092437,1.086206897,1.054545455,2.647058824,2.43697479,1.145454545,0.398383838,2.127517674,0.470031348,13.63090909,-0.754955889,2.612339941,0.082691716,0.053109825,0.973449146,-0.92033932,0.725806452,0.274193548,-0.320471895,-1.293921041,B+S,spinodal,7.46,118.2,0.04528,,144.51,5.423515716,11.06754631,4.586,6.507919359
42,1,S42,36,15.7,28.1,20.1,51.7,48.2,1.072614108,1.39800995,2.292993631,0.558718861,1.791044776,0.781094527,1.28113879,0.311951364,0.609687673,1.640184056,25.75088968,0.494808465,3.248469177,0.829858226,-0.582108864,0.582799123,-1.164907987,0.64171123,0.35828877,-0.443616874,-1.026415997,B+S,spinodal,7.35,127.3,0.06899,,145.453,6.144531518,11.121451,4.637,6.864160402
43,2,A1 (1),26.3,11.7,23.8,38.1,38,61.9,0.613893376,0.624671916,2.247863248,0.491596639,0.690288714,0.307086614,1.105042017,0.71216091,0.277895871,3.598470157,42.10210084,1.280508799,3.740097641,0.809980097,-0.710096739,-0.370645343,-0.339451396,0.408385093,0.591614907,-0.895544694,-0.524899351,BCC,dendrites,6.77667,107.61667,0.0835,2.07,148.449,6.814888945,10.9045566,4.497,6.742251329
44,2,A2 (2),39.6,9.2,29,22.5,48.8,51.5,0.947572816,1.288888889,4.304347826,0.317241379,1.76,0.408888889,1.365517241,0.180250784,0.299438833,3.33958021,30.72413793,1.205845113,3.425048597,1.459625634,-1.148092346,0.565313809,-1.713406155,0.637681159,0.362318841,-0.449916871,-1.01523068,BCC,dendrites,6.99,117.58,0.08073,1.33,146.2,6.346323721,10.6497843,4.698,7.059613432
45,2,A3 (3),39.6,7.5,31,21.9,47.1,52.9,0.890359168,1.415525114,5.28,0.241935484,1.808219178,0.342465753,1.277419355,0.133797654,0.268091878,3.730064516,27.97548387,1.31642553,3.331328551,1.663926098,-1.419084184,0.592342481,-2.011426665,0.643902439,0.356097561,-0.440208057,-1.032550538,BCC,dendrites,6.74,117.51667,0.08462,1.03,145.421,6.42523986,10.44869866,4.706,7.091930497
46,2,A4 (4),24.8,19,37.8,18.4,43.8,56.2,0.779359431,2.054347826,1.305263158,0.502645503,1.347826087,1.032608696,0.656084656,0.372930534,1.573895512,0.635366193,12.07195767,-0.453553764,2.490885215,0.266404674,-0.687870123,0.298492989,-0.986363112,0.574074074,0.425925926,-0.554996842,-0.853489831,BCC,dendrites,5.71333,108.46,0.07356,0.33,144.23,6.48754167,11.14535091,4.626,6.535920593
47,2,A5 (5),46.8,8.9,30.8,13.5,55.7,44.3,1.257336343,2.281481481,5.258426966,0.288961039,3.466666667,0.659259259,1.519480519,0.083354146,0.433871478,2.304830001,20.51298701,0.835006922,3.021058198,1.659831926,-1.241463413,1.243193517,-2.484656931,0.776119403,0.223880597,-0.253448901,-1.496642418,BCC,dendrites,6.13333,123.06,0.07126,1.85,144.283,5.713324208,10.00756722,4.776,7.231175668
48,2,A6 (6),40.2,7,37.8,15.1,47.2,52.9,0.892249527,2.503311258,5.742857143,0.185185185,2.662251656,0.463576159,1.063492063,0.069559609,0.43589997,2.294104308,16.05873016,0.830342488,2.776252637,1.747956847,-1.686398954,0.979172252,-2.665571205,0.726943942,0.273056058,-0.318905913,-1.298078165,BCC,dendrites,6.01667,112.65,0.08356,2.04,143.794,6.165228464,10.02415128,4.784,7.113213954
49,2,B1 (7),26,10.8,24,39.3,36.8,63.3,0.58135861,0.610687023,2.407407407,0.45,0.661577608,0.27480916,1.083333333,0.680192308,0.253669994,3.94212963,42.575,1.371721092,3.751267227,0.878550404,-0.798507696,-0.413127981,-0.385379715,0.398162328,0.601837672,-0.920895498,-0.507767517,BCC,dendrites,6.18,107.61667,0.08597,2.1,148.876,6.858996664,10.80948966,4.504,6.751492156
